
2024/10/13 (13:26:33) | ===> btop++ v.1.4.0
2024/10/13 (13:26:33) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/13 (13:26:33) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/22 (14:09:15) | ===> btop++ v.1.4.0
2024/10/22 (14:09:15) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/22 (14:09:15) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/22 (15:00:45) | ===> btop++ v.1.4.0
2024/10/22 (15:00:45) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/22 (15:00:45) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/22 (15:01:51) | ===> btop++ v.1.4.0
2024/10/22 (15:01:51) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/22 (15:01:51) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/01 (15:01:13) | ===> btop++ v.1.4.0
2024/11/01 (15:01:13) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/11/01 (15:01:13) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/09 (16:05:48) | ===> btop++ v.1.4.0
2024/12/09 (16:05:48) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/23 (20:42:45) | ===> btop++ v.1.4.0
2025/01/23 (20:42:45) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/01/23 (20:42:45) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/12 (20:21:03) | ===> btop++ v.1.4.0
2025/02/12 (20:21:03) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/02/12 (20:21:03) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/13 (00:40:03) | ===> btop++ v.1.4.0
2025/02/13 (00:40:03) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/02/13 (00:40:03) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/13 (18:14:43) | ===> btop++ v.1.4.0
2025/02/13 (18:14:43) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/02/13 (18:14:43) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/13 (21:09:02) | ===> btop++ v.1.4.0
2025/02/13 (21:09:02) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/02/13 (21:09:02) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/14 (13:29:22) | ===> btop++ v.1.4.0
